periodoA,osf,categoria,p1_a,p1_b,p1_e,p1_g,p1_h,p1_i,p2,p4,p5_a,p5_b,p5_c,p5_e,p6,p6.1,evaluacion,comentarios
1,León Ortigosa ABP,ONG - Humanitaria,4,5,5,5,5,5,True,0,4,5,5,5,0,True,4,"['se', 'actitud', 'estos', 'mejorar']"
1,"Comenzar de Nuevo, A.C.",ONG - Humanitaria,4,4,4,4,4,1,True,0,4,4,4,4,0,True,3,"['hubiera', 'mas', 'mas', 'mas', 'respecto', 'pues', 'ahora', 'horas', 'no', 'hice', 'ni', 'hora', 'mal']"
1,"Casa Paterna La Gran Familia, A.C.",ONG - Humanitaria,4,5,5,5,5,4,True,0,5,5,5,5,0,False,4,"['dia', 'dia', 'falta', 'veces', 'no', 'no', 'falta', 'se', 'debe', 'respecto']"
1,"Programa de Acompañamiento de Servicio Social, Dirección de Servicio Social Campus Mty",Dirección Servicio Social Campus Mty.,5,5,3,5,5,5,True,0,5,5,5,5,0,True,4,[]
1,Casa Monarca Ayuda Humanitaria al Migrante A.B.P.,ONG - Humanitaria,4,3,3,5,5,2,True,0,4,4,4,4,0,False,3,"['no', 'muy', 'hice']"
1,"Fundación Yepez, A.C.",ONG - Medio ambiente,5,4,4,4,4,4,True,2,4,5,4,5,0,True,4,"['muy', 'seguir', 'tus', 'tu']"
1,"Viccali, Vida con Calidad, A.C.",ONG - Humanitaria,4,4,3,3,3,4,False,0,3,3,3,3,2,False,2,[]
1,Casa Monarca Ayuda Humanitaria al Migrante A.B.P.,ONG - Humanitaria,4,5,1,4,5,2,True,0,5,5,5,5,0,True,4,"['muy', 'siento', 'mas', 'muy', 'siento', 'tal', 'mejorar', 'porque', 'vino', 'no']"
1,"Comenzar de Nuevo, A.C.",ONG - Humanitaria,5,5,5,5,5,5,True,0,5,5,5,4,2,False,4,[]
1,"Zamora Coaching INC, A.C.",ONG - Desarrollo humano,5,5,5,5,5,5,True,5,5,5,5,5,2,True,5,"['excelente', 'encanto', 'encanto', 'porque']"
1,"Fundación El Mundo Escribe, A.C.",ONG - Arte y cultura,1,1,1,1,1,1,True,2,3,3,3,3,2,False,2,[]
1,"FICAE, Fundación Internacional de Cabalgantes y Actividades Ecuestres A. C.",Actividades recreativas,5,5,5,5,5,5,True,0,5,5,5,5,2,False,4,[]
