osf,clase
León Ortigosa ABP,ONG - Humanitaria
"Comenzar de Nuevo, A.C.",ONG - Humanitaria
"Casa Paterna La Gran Familia, A.C.",ONG - Humanitaria
"Programa de Acompañamiento de Servicio Social, Dirección de Servicio Social Campus Mty",Dirección Servicio Social Campus Mty.
Casa Monarca Ayuda Humanitaria al Migrante A.B.P.,ONG - Humanitaria
"Fundación Yepez, A.C.",ONG - Medio ambiente
"Viccali, Vida con Calidad, A.C.",ONG - Humanitaria
"Zamora Coaching INC, A.C.",ONG - Desarrollo humano
"Fundación El Mundo Escribe, A.C.",ONG - Arte y cultura
"FICAE, Fundación Internacional de Cabalgantes y Actividades Ecuestres A. C.",Actividades recreativas
"Corporación de Desarrollo Integral GAON, S.A. de C.V.",ONG - Humanitaria
"Comedor Infantil Mensajero de Paz - Esperanza al Débil, A.C.",ONG - Humanitaria
"TEDI, Taller de Expresión y Desarrollo Integral, A.C.",ONG - Desarrollo humano
"PROMOCIÓN DE PAZ, A.B.P.",ONG - Humanitaria
"Fundación Rolivel, A.C.",ONG - Desarrollo humano
Climate Science Ltd,ONG - Medio ambiente
Reapropia,ONG - Humanitaria
DIF Nuevo León,ONG - Humanitaria
"Asociación de Espina Bífida de Nuevo León, A.B.P.",ONG - Salud
Zihuame Mochilla A.C.,ONG - Humanitaria
"MARCO, Museo de Arte Contemporáneo",ONG - Arte y cultura
"CIDEPO, Centro de Investigación y Desarrollo de Políticas Públicas, A.C.",Investigación
"Blooders.org, A.C.",ONG - Salud
"Plan Cuatro Ciénegas 2040, A.C.",ONG - Medio ambiente
"VIFAC, Vida y Familia Monterrey, A.B.P.",ONG - Humanitaria
FUNDACION PRO BIENESTAR AL ANCIANO AC,ONG - Humanitaria
Pal Sur del Norte,ONG - Desarrollo humano
"SAIIS, Sociedad de Alumnos de Ingeniero Industrial y de Sistemas",Sociedad de Alumnos ITESM
"AICHE, American Institute of Chemical Engineering",Investigación
"Powerchair Football México, A.C.",Actividades recreativas
"PROVS, Programa de la Vivienda Sustentable, A.C.",ONG - Humanitaria
"SAIFI, Sociedad de Alumnos de Ingeniería Física Industrial",Sociedad de Alumnos ITESM
"SALIN, Sociedad de Alumnos de Licenciado en Negocios Internacionales",Sociedad de Alumnos ITESM
"LAZOS, I.A.P.",ONG - Humanitaria
"ANSPAC, Asociación Nacional Pro Superación Personal A.C.",ONG - Desarrollo humano
"SALNB, Sociedad de Alumnos de Nutrición y Bienestar",ONG - Salud
"Soñar Despierto, A.C.",ONG - Desarrollo humano
"AUTISMO, A.B.P.",ONG - Humanitaria
"Fundación Enrique Yturria García, A.B.P.",ONG - Humanitaria
"Paso de Esperanza, A.C.",ONG - Humanitaria
"CONAFE, Consejo Nacional de Fomento Educativo",ONG - Desarrollo humano
"WEEDS, Worldwide Education in Environmental Development and Sustainability, A.C.",ONG - Medio ambiente
"Forma-T en Valores, A.C.",ONG - Desarrollo humano
"Patronato Parque Huasteca, A.C.",ONG - Medio ambiente
"CARA, Primaria Centro de Alto Rendimiento Académico",ONG - Desarrollo humano
Sacbé,ONG - Arte y cultura
"Casa Samuel Salud, A.B.P.",ONG - Salud
"Be The Match MX, A.C.",ONG - Salud
Villas Asistenciales Santa Maria ABP.,ONG - Humanitaria
PARQUE LA PASTORA,ONG - Medio ambiente
"Liderazgo y Cultura Emprendedora, A.C.",ONG - Desarrollo humano
"Uno a Uno Taller Protegido, S.A. de C.V.",ONG - Humanitaria
"Niños y Jóvenes Emprendedores, A.C.",ONG - Desarrollo humano
Monstritos A. C.,ONG - Humanitaria
Save the Children | Fundación Mexicana de Apoyo Infantil A.C.,ONG - Humanitaria
BufeTec,ONG - Política y leyes
"AIESEC México, A.C.",ONG - Desarrollo humano
"SOLVIT, S.A. de C.V",ONG - Desarrollo humano
"Fundación Enyx, A.C.",ONG - Humanitaria
"BioGenera, A.C.",Investigación
Fundacionplan.org | Plan SPAP A.C.,ONG - Humanitaria
"Best Buddies de México, A.C",ONG - Humanitaria
Women in Tech,ONG - Desarrollo humano
Inclusión y Accesibilidad,ONG - Humanitaria
"UNAC, Unidos por el Arte contra el Cáncer Infantil, A.C.",ONG - Humanitaria
Iniciativa Campana Altamira,ONG - Desarrollo humano
"Servicio Social Comunitario Casa Samuel, A.C.",ONG - Humanitaria
"Hagámoslo Bien por una Cultura de la Legalidad, A.C.",ONG - Humanitaria
"CIBRUC, CENTRO DE INVESTIGACION SOBRE BIODIGESTION ANAEROBIA Y RESIDUOS URBANOS, A.C.",Investigación
Monitor NL,ONG - Política y leyes
Quiero Chamba Ya.,ONG - Desarrollo humano
"Existe, A.B.P.",ONG - Humanitaria
"EZER, A.B.P. | La Casa del Voluntario",ONG - Humanitaria
"Congregación Mariana Trinitaria, A.C.",ONG - Humanitaria
"LPS, Carrera de Licenciatura en Psicología Clínica y de la Salud",Sociedad de Alumnos ITESM
Fundación Plan,ONG - Humanitaria
"PARQUE FUNDIDORA, OPD",ONG - Medio ambiente
"Casanicolás-Solidaridad en el éxodo, A.C.",ONG - Humanitaria
"Instituto de la Mujer Restaurada, A.C.",ONG - Humanitaria
"Fundación Nina, A.C.",ONG - Humanitaria
"Guerreros en la Vida y en la Cancha, A.C.",ONG - Desarrollo humano
SAIIS (Sociedad de Alumnos de Ingeniería Industrial y de Sistemas) - Estancias Infantiles DIF SPGG,Sociedad de Alumnos ITESM
Dirección de Servicio Social,Dirección Servicio Social Campus Mty.
Proyecto 99,ONG - Humanitaria
"Ya Puedo Escucharte, A.C.",ONG - Salud
"Familia de Santa María, A.C.",ONG - Humanitaria
"HIC ME, A.C.",ONG - Desarrollo humano
"Un Techo para mi País México, A.C.",ONG - Humanitaria
"CEI, Comité Ecológico Interescolar",ONG - Desarrollo humano
Fundación JOMAR A.C,ONG - Humanitaria
Secretaría de Desarrollo Social y Humano del Municipio de San Pedro,ONG - Humanitaria
